gene_id,gene_short_name,cluster_method,cell_group,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value
ENSG00000163519,TRAT1,leiden,leiden 1,0.3781689004562744,0.8917362143779451,0.44142614601018676,0.85669800911056,0.32541694293555373,4.07105267430157e-65,5.927127009569141e-60
ENSG00000181631,P2RY13,leiden,leiden 2,0.5713441471548381,2.0124405762415902,0.892271662763466,0.6403253302758947,0.72149994910071,3.644928335627454e-153,5.306724062406723e-148
ENSG00000121858,TNFSF10,leiden,leiden 2,0.6427673261989058,8.31674172252138,0.9882903981264637,0.6503830528126369,0.7439716285717074,1.0746920092965148e-159,1.5646655901749818e-154
ENSG00000152492,CCDC50,leiden,leiden 4,0.6612076934332013,6.10450246828639,0.9428571428571428,0.7012808869746074,0.42679246344072763,2.236341123521871e-25,3.2559337685579626e-20
ENSG00000074966,TXK,leiden,leiden 1,0.4374796889284114,1.0031031738970617,0.5025466893039049,0.8705254620906565,0.3740612506645362,4.262137045223782e-76,6.205330566882209e-71
ENSG00000153064,BANK1,leiden,leiden 3,0.7621428441418424,4.681291851210706,0.9541284403669725,0.7987843270332771,0.8218601913117445,1.852366912357091e-101,2.696898035038936e-96
ENSG00000138795,LEF1,leiden,leiden 1,0.5042448319351036,1.5796338092246667,0.6027164685908319,0.8366202986190874,0.4392557309808489,1.3520879371744914e-91,1.9685318694910856e-86
ENSG00000085871,MGST2,leiden,leiden 4,0.48926868950622004,0.8856339154998375,0.8571428571428571,0.5708134710905901,0.2714222134772883,1.871231074212243e-16,2.7243627455670888e-11
ENSG00000137462,TLR2,leiden,leiden 2,0.5660995892668645,1.6158510687055536,0.8782201405152225,0.6445987323118698,0.7074828281509382,3.559198636639098e-149,5.181908479055596e-144
ENSG00000168685,IL7R,leiden,leiden 1,0.7223705726491514,8.825243791232586,0.8421052631578947,0.8578150550208673,0.6930014772038925,5.891876658396256e-163,8.578101064492278e-158
ENSG00000175857,GAPT,leiden,leiden 4,0.48052558613378304,2.7721451943965776,1,0.48052558613378304,0.3212351795878095,2.7552025901826464e-19,4.0113545550987186e-14
ENSG00000152495,CAMK4,leiden,leiden 1,0.372103140264014,0.8122852027992306,0.4431239388794567,0.839727010021089,0.31620375160808895,4.3379517693132066e-63,6.3157107399784835e-58
ENSG00000134986,NREP,leiden,leiden 4,0.47255109662884787,0.6231076897340502,0.7142857142857143,0.661571535280387,0.28707908448584457,2.4249163811380178e-17,3.530484257626463e-12
